kHz:75;Time(UTC):93;Days:59;ITU:49;Station:201;Lng:49;Target:62;Remarks:135;P:35;Start:60;Stop:60;
8927;0000-2400;;GUM;HFDL-Agana;;GUM;;1;;
8936;0000-2400;;USA;HFDL-Molokai;;HWA;;1;;
8936;0000-2400;;USA;HFDL-Barrow;;AK;;1;;
8942;0000-2400;;IRL;HFDL-Shannon;;IRL;;1;;
8948;0000-2400;;CNR;HFDL-Telde Canarias;;CNR;;1;;
8957;0000-2400;;BOL;HFDL-Santa Cruz;;BOL;;1;;
8977;0000-2400;;ISL;HFDL-Reykjavik;;ISL;;1;;
10027;0000-2400;;USA;HFDL-Molokai;;HWA;;1;;
10027;0000-2400;;USA;HFDL-Barrow;;AK;;1;;
10063;0000-2400;;PNR;HFDL-Albrook;;PNR;;1;;
10066;0000-2400;;THA;HFDL-Hat Yai;;THA;;1;;
10075;0000-2400;;BHR;HFDL-Muharraq;;BHR;;1;;
10081;0000-2400;;USA;HFDL-San Francisco;;CA;;1;;
10081;0000-2400;;IRL;HFDL-Shannon;;IRL;;1;;
10084;0000-2400;;USA;HFDL-Riverhead;;NY;;1;;
10087;0000-2400;;RUS;HFDL-Krasnoyarsk;;RU
10141.5;0000-2400;;Wld;ALE400;;Wld;1;;
10145.5;0000-2400;;Wld;ALE-World;;Wld;;1;;
11175;0000-2400;;USA;USSC;;USA;;1;;
11184;0000-2400;;ISL;HFDL-Reykjavik;;ISL;;1;;
11306;0000-2400;;GUM;HFDL-Agana;;GUM;;1;;
11318;0000-2400;;BOL;HFDL-Santa Cruz;;BOL;;1;;
11321;0000-2400;;AFS;HFDL-Johannesburg;;AFS;;1;;
11312;0000-2400;;USA;HFDL-Molokai;;HWA;;1;;
11327;0000-2400;;USA;HFDL-San Francisco;;CA;;1;;
11348;0000-2400;;USA;HFDL-Molokai;;HWA;;1;;
11348;0000-2400;;CNR;HFDL-Telde Canarias;;CNR;;1;;
11354;0000-2400;;USA;HFDL-Barrow;;AK;;1;;
11384;0000-2400;;IRL;HFDL-Shannon;;IRL;;1;;
11387;0000-2400;;USA;HFDL-Riverhead;;NY;;1;;
11460;0000-2400;;USN;Stanag 75l USN;USN;;1;;
12290;0000-2400;;DSC;Maritime Distress;;DSC;;1;;
12577;0000-2400;;DSC;DSC-World Wide;;DSC;;1;;
13047;0000-2400;;JFC;Fax-JFC;;JFC;;1;;
13264;0000-2400;;PNR;HFDL-Albrook;;PNR;;1;;
13270;0000-2400;;THA;HFDL-Hat Yai;;THA;;1;;
13276;0000-2400;;USA;HFDL-San Francisco;;CA;;1;;
13276;0000-2400;;USA;HFDL-Molokai;;HWA;;1;;
13276;0000-2400;;USA;HFDL-Riverhead;;NY;;1;;
13303;0000-2400;;CNR;HFDL-Telde Canarias;;CNR;;1;;
13312;0000-2400;;USA;HFDL-Molokai;;HWA;;1;;
13312;0000-2400;;GUM;HFDL-Agana;;GUM;;1;;
13315;0000-2400;;BOL;HFDL-Santa Cruz;;BOL;;1;;
13321;0000-2400;;AFS;HFDL-Johannesburg;;AFS;;1;;
13321;0000-2400;;RUS;HFDL-Krasnoyarsk;;RUS;;1;;
13324;0000-2400;;USA;HFDL-Molokai;;HWA;;1;;
13351;0000-2400;;USA;HFDL-Riverhead;;NY;;1;;
13354;0000-2400;;BHR;HFDL-Muharraq;;BHR;;1;;
14094;0000-2400;;Wld;ALE400;;Wld;1;;
14100;0000-2400;;Wld;Beacon-NCDXF;;Wld;;1;;
14109;0000-2400;;Wld;ALE-World;;Wld;;1;;
14346;0000-2400;;Wld;ALE-World;;Wld;;1;;
15034;0000-2400;;CFB;Trenton Mil Volmet;;CFB;;1;;
16420;0000-2400;;DSC;Maritime Distress;;DSC;;1;;
16804.5;0000-2400;;DSC;DSC-World Wide;;DSC;;1;;
15025;0000-2400;;ISL;HFDL-Reykjavik;;ISL;;1;;
17901;0000-2400;;PNR;HFDL-Albrook;;PNR;;1;;
17912;0000-2400;;RUS;HFDL-Krasnoyarsk;;RUS;;1;;
17916;0000-2400;;USA;HFDL-Riverhead;;NY;;1;;
17916;0000-2400;;BOL;HFDL-Santa Cruz;;BOL;;1;;
17919;0000-2400;;USA;HFDL-San Francisco;;CA;;1;;
17919;0000-2400;;USA;HFDL-Molokai;;HWA;;1;;
17919;0000-2400;;USA;HFDL-Riverhead;;NY;;1;;
17919;0000-2400;;USA;HFDL-Barrow;;AK;;1;;
17919;0000-2400;;GUM;HFDL-Agana;;GUM;;1;;
17922;0000-2400;;AFS;HFDL-Johannesburg;;AFS;;1;;
17928;0000-2400;;THA;HFDL-Hat Yai;;THA;;1;;
17928;0000-2400;;CNR;HFDL-Telde Canarias;;CNR;;1;;
17967;0000-2400;;BHR;HFDL-Muharraq;;BHR;;1;;
17985;0000-2400;;ISL;HFDL-Reykjavik;;ISL;;1;;
18104.5;0000-2400;;Wld;ALE400;;Wld;1;;
18106;0000-2400;;Wld;ALE-World;;Wld;;1;;
18110;0000-2400;;Wld;Beacon-NCDXF;;Wld;;1;;
18117.5;0000-2400;;Wld;ALE-World;;Wld;;1;;
21094;0000-2400;;Wld;ALE400;;Wld;1;;
21096;0000-2400;;Wld;ALE-World;;Wld;;1;;
21150;0000-2400;;Wld;Beacon-NCDXF;;Wld;;1;;
21432.5;0000-2400;;Wld;ALE-World;;Wld;;1;;
21931;0000-2400;;USA;HFDL-Riverhead;;NY;;1;;
21934;0000-2400;;USA;HFDL-San Francisco;;CA;;1;;
21937;0000-2400;;USA;HFDL-Molokai;;HWA;;1;;
21928;0000-2400;;USA;HFDL-Barrow;;AK;;1;;
21928;0000-2400;;GUM;HFDL-Agana;;GUM;;1;;
21937;0000-2400;;USA;HFDL-Barrow;;AK;;1;;
21949;0000-2400;;THA;HFDL-Hat Yai;;THA;;1;;
21949;0000-2400;;AFS;HFDL-Johannesburg;;AFS;;1;;
21955;0000-2400;;CNR;HFDL-Telde Canarias;;CNR;;1;;
21982;0000-2400;;BHR;HFDL-Muharraq;;BHR;;1;;
21990;0000-2400;;RUS;HFDL-Krasnoyarsk;;RUS;;1;;
21997;0000-2400;;BOL;HFDL-Santa Cruz;;BOL;;1;;
22159;0000-2400;;DSC;Maritime Exclusive;;DSC;;1;;
24926;0000-2400;;Wld;ALE-World;;Wld;;1;;
24930;0000-2400;;Wld;Beacon-NCDXF;;Wld;;1;;
24932;0000-2400;;Wld;ALE-World;;Wld;;1;;
25100;0000-2400;;DSC;Maritime Exclusive;;DSC;;1;;
28146;0000-2400;;Wld;ALE400;;Wld;;1;;
28200;0000-2400;;Wld;Beacon-NCDXF;;Wld;;1;;
28312.5;0000-2400;;Wld;ALE-World;;Wld;;1;;
