2-D P-to-PDipole @ 55 ft
   2.   5.   0.00   0.00   0.00000  14.20000
 1  0.00   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000
 2  0.00 -30.000-28.895-22.893-19.390-16.912-14.996-13.435-12.119-10.984 -9.986
          -9.097 -8.295 -7.566 -6.897 -6.280 -5.708 -5.175 -4.676 -4.207 -3.764
          -3.347 -2.951 -2.574 -2.216 -1.875 -1.549 -1.238 -0.940 -0.655 -0.381
          -0.119  0.133  0.374  0.606  0.829  1.042  1.247  1.443  1.631  1.812
           1.984  2.149  2.306  2.456  2.600  2.736  2.865  2.988  3.104  3.214
           3.318  3.416  3.508  3.594  3.674  3.750  3.820  3.885  3.945  4.000
           4.051  4.098  4.140  4.179  4.214  4.246  4.274  4.299  4.322  4.341
           4.359  4.374  4.386  4.397  4.407  4.414  4.421  4.426  4.430  4.433
           4.436  4.438  4.439  4.440  4.440  4.441  4.441  4.441  4.441  4.441
           4.441
 3  0.00 -30.000-25.630-19.633-16.136-13.664-11.755-10.201 -8.894 -7.768 -6.780
          -5.900 -5.110 -4.392 -3.736 -3.133 -2.574 -2.056 -1.572 -1.120 -0.695
          -0.295  0.083  0.439  0.777  1.097  1.401  1.689  1.964  2.225  2.474
           2.711  2.937  3.152  3.357  3.552  3.737  3.914  4.082  4.241  4.393
           4.536  4.673  4.801  4.923  5.038  5.146  5.248  5.344  5.433  5.517
           5.596  5.669  5.737  5.800  5.859  5.913  5.963  6.008  6.050  6.088
           6.123  6.155  6.183  6.209  6.232  6.252  6.270  6.286  6.300  6.313
           6.323  6.333  6.340  6.347  6.352  6.357  6.361  6.364  6.366  6.368
           6.370  6.371  6.371  6.372  6.372  6.372  6.373  6.373  6.373  6.373
           6.373
 4  0.00 -30.000-23.297-17.304-13.813-11.347 -9.445 -7.900 -6.602 -5.486 -4.508
          -3.641 -2.863 -2.159 -1.518 -0.931 -0.389  0.111  0.575  1.008  1.411
           1.789  2.142  2.474  2.785  3.078  3.354  3.613  3.858  4.087  4.304
           4.507  4.699  4.879  5.048  5.206  5.354  5.493  5.623  5.744  5.856
           5.961  6.057  6.147  6.230  6.306  6.375  6.439  6.497  6.550  6.598
           6.641  6.680  6.714  6.745  6.772  6.796  6.817  6.836  6.851  6.865
           6.877  6.886  6.894  6.901  6.907  6.911  6.915  6.917  6.919  6.921
           6.922  6.923  6.923  6.923  6.923  6.923  6.923  6.923  6.923  6.923
           6.923  6.923  6.923  6.923  6.923  6.922  6.922  6.922  6.922  6.922
           6.922
 5  0.00 -30.000-21.477-15.489-12.003 -9.544 -7.650 -6.114 -4.826 -3.720 -2.755
          -1.902 -1.139 -0.451  0.173  0.741  1.262  1.741  2.182  2.590  2.967
           3.317  3.641  3.942  4.221  4.480  4.720  4.942  5.148  5.338  5.512
           5.673  5.820  5.955  6.077  6.187  6.287  6.376  6.455  6.525  6.585
           6.638  6.682  6.719  6.749  6.772  6.789  6.801  6.808  6.810  6.808
           6.802  6.793  6.781  6.767  6.750  6.732  6.713  6.692  6.671  6.650
           6.628  6.607  6.586  6.565  6.546  6.527  6.509  6.492  6.477  6.463
           6.450  6.438  6.428  6.418  6.410  6.404  6.398  6.393  6.389  6.386
           6.383  6.382  6.380  6.379  6.379  6.378  6.378  6.378  6.378  6.378
           6.378
 6  0.00   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000
 7  0.00   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000
 8  0.00   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000
 9  0.00   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000
10  0.00   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000
11  0.00   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000
12  0.00   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
           0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
